ID		wf	yb	color	jj
hap12_Cannabis1G12050.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12051.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12148.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12149.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12428.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12592.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12593.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12699.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12700.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12701.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G12749.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G13324.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G13327.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G14082.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G14783.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G14784.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G14785.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G14816.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15202.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15203.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15204.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15205.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15399.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15400.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15408.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15409.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15505.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15547.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15619.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15808.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15845.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15846.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15941.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G15942.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G16235.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G16301.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G18634.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G18635.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G18636.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G18930.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G18934.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G18961.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G18962.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G19111.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G19242.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G19248.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G19249.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G20058.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G20059.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G20514.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G20788.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21019.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21020.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21021.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21259.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21359.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21360.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21365.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21366.t1	#E41A1C	hap12	FAD	#ff7f0e	cbdas
hap12_Cannabis1G21367.t1	#E41A1C	hap12	FAD	#ff7f0e	cbdas
hap12_Cannabis1G21368.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21369.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21370.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21371.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21467.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21469.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21470.t1	#E41A1C	hap12	BBE	#1f77b4	.
hap12_Cannabis1G21582.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21669.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21678.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21679.t1	#E41A1C	hap12	FAD	#ff7f0e	cbdas
hap12_Cannabis1G21680.t1	#E41A1C	hap12	x	#aaaaaa	cbdas
hap12_Cannabis1G21682.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21683.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21685.t1	#E41A1C	hap12	BBE	#1f77b4	.
hap12_Cannabis1G21686.t1	#E41A1C	hap12	x	#aaaaaa	cbdas
hap12_Cannabis1G21688.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21689.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21690.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21691.t1	#E41A1C	hap12	FAD	#ff7f0e	cbdas
hap12_Cannabis1G21692.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21694.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G21698.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21703.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21704.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21705.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21706.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21707.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21715.t1	#E41A1C	hap12	BBE	#1f77b4	.
hap12_Cannabis1G21716.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G21719.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21720.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G21729.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21735.t1	#E41A1C	hap12	BBE	#1f77b4	.
hap12_Cannabis1G21736.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G21738.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21739.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21740.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21742.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21744.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21754.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21757.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21758.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21759.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21768.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G21769.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G21770.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21772.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21779.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G21800.t1	#E41A1C	hap12	FAD_BBE	#ff0000	cbdas
hap12_Cannabis1G22171.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22776.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22777.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22778.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22826.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22830.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22857.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G22902.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G22916.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G23092.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G23093.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G23709.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G23710.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G24168.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G25110.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G25248.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G25249.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G25558.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G25575.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G25789.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G25953.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G26068.t1	#E41A1C	hap12	x	#aaaaaa	.
malus_domestica_NP_001315785.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008338030.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008338887.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008340460.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008346299.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008349298.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008356815.2	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_008360505.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008365995.2	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_008367923.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008375236.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008377186.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008377825.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008378092.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008383453.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_008387152.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008387153.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008387156.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008387157.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008387997.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_008389095.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_017179193.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_017192642.2	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_017192678.2	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028949211.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_028950629.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_028950960.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_028954068.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028955573.1	#377EB8	malus	FAD	#ff7f0e	.
malus_domestica_XP_028958855.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028958856.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028958857.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028958858.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028958863.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028959393.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028959394.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028966024.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028966025.1	#377EB8	malus	FAD_BBE	#ff0000	.
malus_domestica_XP_028966042.1	#377EB8	malus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010090054.2	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010090055.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010090224.2	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010098364.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010098533.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010098534.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010098535.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010098536.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010098537.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010100256.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010102741.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010106427.2	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010108589.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_010112072.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_010112301.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024017290.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024022776.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_024022780.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_024022814.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_024022829.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_024022855.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_024023545.1	#4DAF4A	morus	FAD_BBE	#ff0000	.
morus_notabilis_XP_024024132.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024024133.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024026999.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024027000.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024030195.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024030306.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024030307.1	#4DAF4A	morus	FAD	#ff7f0e	.
morus_notabilis_XP_024031655.1	#4DAF4A	morus	BBE	#1f77b4	.
morus_notabilis_XP_024031752.1	#4DAF4A	morus	FAD	#ff7f0e	.
pappver_somniferum_XP_026379212.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026380535.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026380836.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026387416.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026390652.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026400377.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026407969.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026412469.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026412470.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026412471.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026412472.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026415635.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026419394.1	#984EA3	pappver	x	#aaaaaa	.
pappver_somniferum_XP_026425907.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026426937.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026427414.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026427415.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026430345.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026436629.1	#984EA3	pappver	BBE	#1f77b4	.
pappver_somniferum_XP_026437545.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026441780.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026446892.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026446893.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026447107.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026447297.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026447298.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026448841.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026452210.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026452423.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026453664.1	#984EA3	pappver	x	#aaaaaa	.
pappver_somniferum_XP_026454224.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026454225.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026454226.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026456401.1	#984EA3	pappver	FAD	#ff7f0e	.
pappver_somniferum_XP_026459620.1	#984EA3	pappver	BBE	#1f77b4	.
pappver_somniferum_XP_026459621.1	#984EA3	pappver	FAD_BBE	#ff0000	.
pappver_somniferum_XP_026460251.1	#984EA3	pappver	FAD	#ff7f0e	.
prunus_mume_XP_008220057.1	#FF7F00	prunus	FAD	#ff7f0e	.
prunus_mume_XP_008220595.1	#FF7F00	prunus	FAD	#ff7f0e	.
prunus_mume_XP_008221029.1	#FF7F00	prunus	FAD	#ff7f0e	.
prunus_mume_XP_008221030.1	#FF7F00	prunus	FAD	#ff7f0e	.
prunus_mume_XP_008221343.1	#FF7F00	prunus	FAD	#ff7f0e	.
prunus_mume_XP_008222794.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225655.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225656.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225664.2	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225665.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225666.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225667.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225668.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225669.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
prunus_mume_XP_008225671.1	#FF7F00	prunus	FAD_BBE	#ff0000	.
